org,year,count
nypublicradio,2018,10
nypublicradio,2019,10
nypublicradio,2020,7
nypublicradio,2021,3
nypublicradio,2022,4
nypublicradio,2023,5
nypublicradio,2024,1
nytimes,2010,5
nytimes,2011,5
nytimes,2012,3
nytimes,2013,5
nytimes,2014,8
nytimes,2015,5
nytimes,2016,19
nytimes,2017,13
nytimes,2018,3
nytimes,2019,9
nytimes,2020,3
nytimes,2021,6
nytimes,2022,6
nytimes,2023,3
nytimes,2025,2
nytlabs,2013,6
nytlabs,2014,8
nytlabs,2015,2
nytlabs,2016,2
nytlabs,2017,1
nytlabs,2020,1
nzzdev,2015,3
nzzdev,2016,7
nzzdev,2017,14
nzzdev,2018,4
nzzdev,2019,1
nzzdev,2020,3
nzzdev,2021,3
nzzdev,2022,6
nzzdev,2023,1
nzzdev,2024,1
nzzdev,2025,4
occrp,2015,11
occrp,2016,3
occrp,2017,3
occrp,2018,1
occrp,2020,10
occrp,2022,1
occrp,2024,1
openelections,2012,2
openelections,2013,5
openelections,2014,23
openelections,2015,36
openelections,2016,29
openelections,2017,19
openelections,2018,8
openelections,2019,2
openelections,2020,2
openelections,2021,3
openelections,2022,2
openelections,2025,1
opennews,2014,3
opennews,2015,3
opennews,2016,3
opennews,2017,4
opennews,2018,2
opennews,2019,3
opennews,2020,2
opennews,2021,1
opennews,2022,1
opennews,2023,2
opennews,2024,1
opennews,2025,1
opennewslabs,2012,4
opennewslabs,2013,1
opennewslabs,2014,2
opennewslabs,2015,1
opennewslabs,2016,19
opennewslabs,2017,7
opennewslabs,2018,1
opensecrets,2014,2
openstates,2009,1
openstates,2011,3
openstates,2012,1
openstates,2014,1
openstates,2015,1
openstates,2016,1
openstates,2017,5
openstates,2018,1
openstates,2019,2
openstates,2020,3
openstates,2021,3
openstates,2022,1
openstates,2023,2
openstates,2025,2
oregonian,2013,1
oregonian,2015,1
orlandosentinel,2015,1
orlandosentinel,2016,4
overview,2011,2
overview,2012,2
overview,2013,4
overview,2014,9
overview,2015,19
overview,2017,3
overview,2018,12
overview,2020,2
palmbeachpost,2014,8
palmbeachpost,2015,7
palmbeachpost,2016,5
palmbeachpost,2017,2
palmbeachpost,2018,2
palmbeachpost,2019,1
phillymedia,2016,1
phillymedia,2017,30
phillymedia,2018,16
phillymedia,2019,2
phillymedia,2020,1
phillymedia,2022,4
phillymedia,2023,2
phillymedia,2024,1
phillymedia,2025,2
pitchinteractiveinc,2013,1
pitchinteractiveinc,2016,3
pitchinteractiveinc,2017,1
pitchinteractiveinc,2022,1
poderopedia,2012,2
poderopedia,2013,6
poderopedia,2014,1
policymic,2014,1
politibot,2018,2
polygraph-cool,2017,3
polygraph-cool,2018,3
polygraph-cool,2019,1
polygraph-cool,2020,4
polygraph-cool,2025,1
postandcourier,2014,2
postandcourier,2015,7
postandcourier,2018,1
postandcourier,2019,1
postandcourier,2020,4
postdispatchinteractive,2012,2
postdispatchinteractive,2014,2
postdispatchinteractive,2015,2
postdispatchinteractive,2016,1
postdispatchinteractive,2019,2
postdispatchinteractive,2020,1
postdispatchinteractive,2023,1
povdocs,2014,8
povdocs,2015,3
povdocs,2016,1
proofnews,2024,1
propublica,2009,2
propublica,2010,8
